_IDOBJ;NOM_COMPLET;THEME;LIBTHEME;CATEGORIE;LIBCATEGORIE;TYPE;LIBTYPE;STATUT;COMMUNE;ADRESSE;TELEPHONE;WEB;CODE_POSTAL;LONG_WGS84;LAT_WGS84;HORAIRES;PLACES_PMR;PLACES_ELEC;PLACES_VELO;PLACES_MOTO
3725;40 Station Accueil Madeleine;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;2 Quai Moncousu;;www.bicloo.nantesmetropole.fr;44000;-1,5504304749;47,2088158747;;;;;
3735;50 Station Abonnement Château;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;2 Rue des Etats;;www.bicloo.nantesmetropole.fr;44000;-1,5502760023;47,2151359323;;;;;
3686;2 Station Accueil Hôtel de Ville;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;29 Rue de Strasbourg;;www.bicloo.nantesmetropole.fr;44000;-1,5535442685;47,2185640016;;;;;
3691;7 Station Accueil Barillerie;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;2 Allée Penthiévre;;www.bicloo.nantesmetropole.fr;44000;-1,55610038;47,2154096299;;;;;
3748;63 Station Accueil Jardins des Plantes;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;6 Rue Stanislas Baudry;;www.bicloo.nantesmetropole.fr;44000;-1,5447641096;47,2199317719;;;;;
3738;53 Station Accueil Olivettes;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;10 Rue des Olivettes;;www.bicloo.nantesmetropole.fr;44000;-1,5499593511;47,2117494266;;;;;
4011;Aire de Covoiturage Le Paradis;10;DEPLACEMENT;1006;Aire de covoiturage;;;;COUERON;RD 91;;www.covoiturage-nantesmetropole.fr;44220;-1,7516156815;47,2058433058;;;;;
2497;Bacs de la Loire;10;DEPLACEMENT;1004;Transport en commun;100402;Fluvial;;COUERON;RD 91;;;44220;-1,7522547291;47,2059274676;;;;;
3582;Parc relais Trentemoult;10;DEPLACEMENT;1002;Parc Relais;100203;Libre;;REZE;Rue Ordronneau;;;44400;-1,5806876864;47,1919649895;Accès libre permanent.;;;;
3648;Parc relais TER Gare de Pont-Rousseau;10;DEPLACEMENT;1002;Parc Relais;100202;Enclos;;REZE;Avenue de la Libération;;;44400;-1,5481902721;47,1928009988;"Ouvert 24h/24 et contrôle d&#39;accès du lundi au samedi de 6h à 22h.";6;;;20
4018;Aire de Covoiturage La Charmelière;10;DEPLACEMENT;1006;Aire de covoiturage;;;;CARQUEFOU;RD 37;;www.covoiturage-nantesmetropole.fr;44470;-1,4738172227;47,2948276011;;;;;
3630;Parc relais busway Chapeau Verni;10;DEPLACEMENT;1002;Parc Relais;100202;Enclos;;VERTOU;Route de Clisson;;;44230;-1,5112988918;47,1895300763;"Ouvert 24h/24 et contrôle d&#39;accès du lundi au samedi de 6h à 22h.";4;;;10
3699;15 Station Accueil Place Aristide Briand;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;Place Aristide Briand;;www.bicloo.nantesmetropole.fr;44000;-1,5630055035;47,2171962876;;;;;
1043;Parking ouvrage Aristide Briand;10;DEPLACEMENT;1001;Parking Ouvrage;100101;Souterrain;;NANTES;Place Aristide Briand;08 10 26 30 00;www.vincipark.com;44000;-1,5629364181;47,2170936049;Parking souterrain ouvert de 7h30 à 21h30.;9;;10;
